cluster_id,user_address,block_time,currency_symbol,amount_original,source_chain_name,destination_chain_name,total_times,source_bridge_contract,destination_bridge_contract,debank_balance,txs_count,amount,source/destination_chain_count/contract_count,day/week/month
1,0x8d21ed17108c84f050c48eb87300a92e3be22328,2022-12-10 10:06:28.000 UTC,USDC.e,102,Arbitrum,Optimism,61,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,0x701a95707a0290ac8b90b3719e8ee5b210360883,229,61,11828.09,"8 , 14 , 32","43 , 32 , 15"
1,0x59e8ebaa61167e73729234c3639bcfbc519c1128,2022-12-10 10:06:28.000 UTC,USDC.e,102,Arbitrum,Optimism,62,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,0x701a95707a0290ac8b90b3719e8ee5b210360883,191,62,10126.85,"8 , 13 , 25","41 , 31 , 15"
1,0x5b02bccc4f1c66608afabee6068c0b84cdd66905,2022-12-10 10:06:28.000 UTC,USDC.e,102,Arbitrum,Optimism,59,0x352d8275aae3e0c2404d9f68f6cee084b5beb3dd,0x701a95707a0290ac8b90b3719e8ee5b210360883,215,59,13956.2,"8 , 15 , 29","38 , 31 , 15"
2,0x607d88502d4cef437113ebb9c817ab39bcfc9905,2022-12-14 14:11:58.000 UTC,USDC.e,110.22,Polygon,Optimism,18,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,0x701a95707a0290ac8b90b3719e8ee5b210360883,283,18,3516.08,"6 , 8 , 7","11 , 10 , 7"
2,0xa8b1d93c15dc0f754acb112165123867b59e247d,2022-12-14 14:11:58.000 UTC,USDC.e,110.146,Polygon,Optimism,20,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,0x701a95707a0290ac8b90b3719e8ee5b210360883,224,20,3033.86,"5 , 7 , 6","13 , 12 , 7"
2,0xf463ed3240c2a90ae95f29990c07e761c235de8f,2022-12-14 14:11:58.000 UTC,USDC.e,110.12,Polygon,Optimism,18,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,0x701a95707a0290ac8b90b3719e8ee5b210360883,228,18,2228.64,"5 , 7 , 6","13 , 11 , 6"
2,0x2a3f9c669c98b19bc790a4c9f424d12d40168f00,2022-12-14 14:11:58.000 UTC,USDC.e,110.08,Polygon,Optimism,18,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,0x701a95707a0290ac8b90b3719e8ee5b210360883,283,18,3687.28,"5 , 8 , 5","11 , 10 , 7"
2,0xc6fa74a4df229998f054a07a829428789259c6e1,2022-12-14 14:11:58.000 UTC,USDC.e,110.33,Polygon,Optimism,18,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,0x701a95707a0290ac8b90b3719e8ee5b210360883,275,18,3355.57,"5 , 7 , 6","10 , 9 , 6"
2,0xd208bf65154757c177e6feb1a7a0a8b804f48b7d,2022-12-14 14:11:58.000 UTC,USDC.e,110.66,Polygon,Optimism,18,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,0x701a95707a0290ac8b90b3719e8ee5b210360883,223,18,1811.26,"4 , 6 , 5","12 , 10 , 6"
2,0x7349b56a1a7f50fa39d6f1a3f5c312dcc1465b30,2022-12-14 14:11:58.000 UTC,USDC.e,110.1,Polygon,Optimism,19,0x9d1b1669c73b033dfe47ae5a0164ab96df25b944,0x701a95707a0290ac8b90b3719e8ee5b210360883,278,19,3796.2,"5 , 8 , 6","11 , 10 , 7"
